building_id,position_id,ssid,mac_id,rssi
AI,201앞 복도(호),GC_free_WiFi_,94:64:24:9d:d9:60,-57
AI,201앞 복도(호),GC_free_WiFi_,94:64:24:9d:d9:40,-60
AI,201앞 복도(호),GC_free_WiFi_,94:64:24:9d:fa:00,-60
AI,201앞 복도(호),GC_free_WiFi_,94:64:24:9f:a8:b0,-61
AI,201앞 복도(호),GC_free_WiFi_,94:64:24:9d:f9:e0,-64
AI,202앞 복도(호),GC_free_WiFi_,94:64:24:9d:d9:60,-63
AI,202앞 복도(호),GC_free_WiFi_,94:64:24:9e:7e:c0,-63
AI,202앞 복도(호),GC_free_WiFi_,94:64:24:a0:cf:70,-63
AI,202앞 복도(호),GC_free_WiFi_,94:64:24:9e:7e:a0,-65
AI,202앞 복도(호),iNES_,14:eb:b6:af:69:66,-65
AI,203앞 복도(호),GC_free_WiFi_,94:64:24:9e:7e:c0,-51
AI,203앞 복도(호),GC_free_WiFi_,94:64:24:9e:7e:a0,-57
AI,203앞 복도(호),iNES_,14:eb:b6:af:69:66,-60
AI,203앞 복도(호),GC_free_WiFi_,94:64:24:a0:cf:70,-60
AI,203앞 복도(호),DIRECT-6t-EPSON-L5290 Series_,3a:1a:52:ea:79:f4,-65
AI,204앞 복도(호),GC_free_WiFi_,94:64:24:9e:7e:c0,-51
AI,204앞 복도(호),GC_free_WiFi_,94:64:24:9e:7e:a0,-57
AI,204앞 복도(호),iNES_,14:eb:b6:af:69:66,-60
AI,204앞 복도(호),GC_free_WiFi_,94:64:24:a0:cf:70,-60
AI,204앞 복도(호),DIRECT-6t-EPSON-L5290 Series_,3a:1a:52:ea:79:f4,-65
AI,205앞 복도(호),GC_free_WiFi_,94:64:24:9d:d9:40,-60
AI,205앞 복도(호),GC_free_WiFi_,94:64:24:9d:d9:60,-60
AI,205앞 복도(호),GC_free_WiFi_,94:64:24:9d:fa:00,-60
AI,205앞 복도(호),GC_free_WiFi_,94:64:24:a1:89:50,-61
AI,205앞 복도(호),GC_free_WiFi_,94:64:24:9f:a8:b0,-62
